"Core (view column details
)",,,,,,,Timestamps (view column details),,,,,,User (view column details),,,,,Session (view column details),,Event (view column details),,,,,,,Event specific fields (view column details),,,Application (view column details),,Useragent (view column details),,,,,,,,Location (view column details),,,,,,,,Marketing (view column details),,,,,,,Page (view column details),,,,,,,,,,Referer (view column details),,,,,,,,,,Cross domain referer (view column details),,Visibility (view column details),,,,,,Scroll depth (view column details),,,,Meta data (view column details),,,
derived_tstamp,event_name,domain_userid,domain_sessionidx,geo_city,app_id,page_urlpath,derived_tstamp,dvce_created_tstamp,dvce_sent_tstamp,collector_tstamp,etl_tstamp,true_tstamp,user_id,domain_userid,network_userid,user_ipaddress,user_fingerprint,domain_sessionid,domain_sessionidx,event_id,event,event_name,event_vendor,event_format,event_version,event_fingerprint,link_click_event,focus_form_event,change_form_event,app_id,platform,useragent,useragent_parser_context,yauaa_context,iab_bot_context,br_lang,br_cookies,br_colordepth,doc_charset,geo_country,geo_region,geo_region_name,geo_city,geo_zipcode,geo_latitude,geo_longitude,geo_timezone,mkt_medium,mkt_source,mkt_term,mkt_content,mkt_campaign,mkt_network,mkt_clickid,page_view_id,page_url,page_title,page_urlscheme,page_urlport,page_urlhost,page_urlpath,page_urlquery,page_urlfragment,performance_timing_context,page_referrer,refr_urlscheme,refr_urlport,refr_urlhost,refr_urlpath,refr_urlquery,refr_urlfragment,refr_medium,refr_source,refr_term,refr_domain_userid,refr_dvce_tstamp,br_viewwidth,br_viewheight,dvce_screenwidth,dvce_screenheight,doc_width,doc_height,pp_xoffset_min,pp_xoffset_max,pp_yoffset_min,pp_yoffset_max,v_tracker,name_tracker,v_collector,v_etl
2020-04-01 10:00:03,page_view,be5016ad-c6ef-442d-aa18-…,4,San Francisco,website,/,2020-04-01 10:00:03,2020-04-01 10:00:01,2020-04-01 10:00:01,2020-04-01 10:00:03,2020-04-01 10:00:04,,,be5016ad-c6ef-442d-aa18-…,28172b1a-96aa-4fe2-a4e3-…,192.171.81.XX,76d5cf8dfb94371b9a29393b…,289d6851-77ca-45ad-a611-…,4,2878003c-7b88-43b0-8f1f-…,page_view,page_view,com.snowplowanalytics.sn…,jsonschema,1-0-0,0ca09ed2370afcd6989bf656…,,,,website,web,Mozilla/5.0 (Macintosh; …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-US,TRUE,24,UTF-8,US,CA,California,San Francisco,94102,37.78,-122.42,America/Los_Angeles,,,,,,,,ed479d38-0eab-45a4-bdc7-…,https://snowplowanalytic…,Snowplow | The Data Coll…,https,443,snowplowanalytics.com,/,,,{ “connectEnd”…,https://www.google.com/,https,443,google.com,/,,,search,Google,,,,1678,892,1680,1050,1678,4758,,,,,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:00:08,page_view,be5016ad-c6ef-442d-aa18-…,4,San Francisco,website,/snowplow-bdp/,2020-04-01 10:00:08,2020-04-01 10:00:08,2020-04-01 10:00:08,2020-04-01 10:00:08,2020-04-01 10:00:08,,,be5016ad-c6ef-442d-aa18-…,28172b1a-96aa-4fe2-a4e3-…,192.171.81.XX,76d5cf8dfb94371b9a29393b…,289d6851-77ca-45ad-a611-…,4,25322a4d-14c4-41e9-a180-…,page_view,page_view,com.snowplowanalytics.sn…,jsonschema,1-0-0,45c824fc852e1693ddf43cf1…,,,,website,web,Mozilla/5.0 (Macintosh; …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-US,TRUE,24,UTF-8,US,CA,California,San Francisco,94102,37.78,-122.42,America/Los_Angeles,,,,,,,,08e14838-2c28-4529-acc4-…,https://snowplowanalytic…,"Snowplow
BDP | A Da…",https,443,snowplowanalytics.com,/snowplow-bdp/,,,{ “connectEnd”…,https://snowplowanalytic…,https,443,snowplowanalytics.com,/,,,internal,,,,,1678,892,1680,1050,1678,4672,,,,,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:00:15,page_view,292a1aaa-89f9-4441-b001-…,22,Manchester,website,/,2020-04-01 10:00:15,2020-04-01 10:00:13,2020-04-01 10:00:13,2020-04-01 10:00:15,2020-04-01 10:00:16,,,292a1aaa-89f9-4441-b001-…,93252393-6d33-4dab-90b7-…,185.242.7.XX,3ce15e71e3dea3f0ebc2cfb4…,01e67be0-600b-4e48-a57e-…,22,33eb89fb-02e9-4caa-99b5-…,page_view,page_view,com.snowplowanalytics.sn…,jsonschema,1-0-0,f755b32e4a46ebadf84249d7…,,,,website,web,Mozilla/5.0 (Windows NT …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-GB,TRUE,24,UTF-8,GB,MA,Manchester,Manchester,M1,43.01,-71.47,Europe/London,,,,,,,,ff24e29a-cb17-4623-912d-…,https://snowplowanalytic…,Snowplow | The Data Coll…,https,443,snowplowanalytics.com,/,,,{ “connectEnd”…,,,,,,,,direct,,,,,1536,678,1536,864,1519,4756,,,,,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:00:18,page_ping,be5016ad-c6ef-442d-aa18-…,4,San Francisco,website,/snowplow-bdp/,2020-04-01 10:00:18,2020-04-01 10:00:18,2020-04-01 10:00:18,2020-04-01 10:00:18,2020-04-01 10:00:18,,,be5016ad-c6ef-442d-aa18-…,28172b1a-96aa-4fe2-a4e3-…,192.171.81.XX,76d5cf8dfb94371b9a29393b…,289d6851-77ca-45ad-a611-…,4,5f8f8fba-bac9-4d3e-a993-…,page_ping,page_ping,com.snowplowanalytics.sn…,jsonschema,1-0-0,22e8dcb242f9abd878f2a495…,,,,website,web,Mozilla/5.0 (Macintosh; …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-US,TRUE,24,UTF-8,US,CA,California,San Francisco,94102,37.78,-122.42,America/Los_Angeles,,,,,,,,08e14838-2c28-4529-acc4-…,https://snowplowanalytic…,"Snowplow
BDP | A Da…",https,443,snowplowanalytics.com,/snowplow-bdp/,,,{ “connectEnd”…,https://snowplowanalytic…,https,443,snowplowanalytics.com,/,,,internal,,,,,1678,892,1680,1050,1678,4672,0,0,0,0,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:01:22,page_view,292a1aaa-89f9-4441-b001-…,22,Manchester,docs,/docs/setup-snowplow-on-…,2020-04-01 10:01:22,2020-04-01 10:01:22,2020-04-01 10:01:22,2020-04-01 10:01:22,2020-04-01 10:01:23,,,292a1aaa-89f9-4441-b001-…,93252393-6d33-4dab-90b7-…,185.242.7.XX,3ce15e71e3dea3f0ebc2cfb4…,01e67be0-600b-4e48-a57e-…,22,f39dc073-37c2-4710-9d6d-…,page_view,page_view,com.snowplowanalytics.sn…,jsonschema,1-0-0,fde8eb647f081899f29e7970…,,,,docs,web,Mozilla/5.0 (Windows NT …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-GB,TRUE,24,UTF-8,GB,MA,Manchester,Manchester,M1,43.01,-71.47,Europe/London,,,,,,,,19f447ae-8f57-4b92-8307-…,https://docs.snowplowana…,"Snowplow Docs –
Document…",https,443,snowplowanalytics.com,/docs/setup-snowplow-on-…,,1-choose-and-configure-a…,{ “connectEnd”…,https://www.google.com/,https,443,google.com,/,,,search,Google,,,,1536,722,1536,864,1519,1920,,,,,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:01:32,page_ping,292a1aaa-89f9-4441-b001-…,22,Manchester,docs,/docs/setup-snowplow-on-…,2020-04-01 10:01:32,2020-04-01 10:01:32,2020-04-01 10:01:32,2020-04-01 10:01:32,2020-04-01 10:01:32,,,292a1aaa-89f9-4441-b001-…,93252393-6d33-4dab-90b7-…,185.242.7.XX,3ce15e71e3dea3f0ebc2cfb4…,01e67be0-600b-4e48-a57e-…,22,e3702ef7-1d09-44fb-9cfa-…,page_ping,page_ping,com.snowplowanalytics.sn…,jsonschema,1-0-0,e65373bd93dd312ab993e075…,,,,docs,web,Mozilla/5.0 (Windows NT …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-GB,TRUE,24,UTF-8,GB,MA,Manchester,Manchester,M1,43.01,-71.47,Europe/London,,,,,,,,19f447ae-8f57-4b92-8307-…,https://docs.snowplowana…,"Snowplow Docs –
Document…",https,443,snowplowanalytics.com,/docs/setup-snowplow-on-…,,1-choose-and-configure-a…,{ “connectEnd”…,https://www.google.com/,https,443,google.com,/,,,search,Google,,,,1536,722,1536,864,1519,1920,0,0,0,563,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:01:42,page_ping,292a1aaa-89f9-4441-b001-…,22,Manchester,docs,/docs/setup-snowplow-on-…,2020-04-01 10:01:42,2020-04-01 10:01:41,2020-04-01 10:01:41,2020-04-01 10:01:42,2020-04-01 10:01:42,,,292a1aaa-89f9-4441-b001-…,93252393-6d33-4dab-90b7-…,185.242.7.XX,3ce15e71e3dea3f0ebc2cfb4…,01e67be0-600b-4e48-a57e-…,22,809f0808-1a2a-4f35-b955-…,page_ping,page_ping,com.snowplowanalytics.sn…,jsonschema,1-0-0,820d2f34c549e1b043e05077…,,,,docs,web,Mozilla/5.0 (Windows NT …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-GB,TRUE,24,UTF-8,GB,MA,Manchester,Manchester,M1,43.01,-71.47,Europe/London,,,,,,,,19f447ae-8f57-4b92-8307-…,https://docs.snowplowana…,"Snowplow Docs –
Document…",https,443,snowplowanalytics.com,/docs/setup-snowplow-on-…,,1-choose-and-configure-a…,{ “connectEnd”…,https://www.google.com/,https,443,google.com,/,,,search,Google,,,,1536,722,1536,864,1519,1920,0,0,563,1198,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:12:07,page_view,e39fd884-8992-480f-8e37-…,67,New York,console,/,2020-04-01 10:12:07,2020-04-01 10:12:07,2020-04-01 10:12:07,2020-04-01 10:12:07,2020-04-01 10:12:08,,example-user@company.com,e39fd884-8992-480f-8e37-…,4b82d683-813b-4969-a4ae-…,138.68.41.XX,1909c6c61de7e28a236e2be1…,7f0a23a5-e392-48d2-b37b-…,67,fa657f4f-700f-43ae-b9b3-…,page_view,page_view,com.snowplowanalytics.sn…,jsonschema,1-0-0,a67b5f3574a4149acc1dde1a…,,,,console,web,Mozilla/5.0 (X11; Linux …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-US,TRUE,24,UTF-8,US,NY,New York,New York,10021,40.77,-73.96,America/New_York,,,,,,,,d960ae10-3061-41f5-9547-…,https://console.snowplow…,Snowplow BDP,https,443,snowplowanalytics.com,/,,,{ “connectEnd”…,,,,,,,,direct,,,,,1004,632,1024,768,989,632,,,,,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:12:12,link_click,e39fd884-8992-480f-8e37-…,67,New York,console,/,2020-04-01 10:12:12,2020-04-01 10:12:12,2020-04-01 10:12:12,2020-04-01 10:12:12,2020-04-01 10:12:14,,example-user@company.com,e39fd884-8992-480f-8e37-…,4b82d683-813b-4969-a4ae-…,138.68.41.XX,1909c6c61de7e28a236e2be1…,7f0a23a5-e392-48d2-b37b-…,67,5ddfb8bb-66ea-4a3a-a5ec-…,unstruct,link_click,com.snowplowanalytics.sn…,jsonschema,1-0-1,ef1532ee1fca3ca4dcca7f8e…,{“targetUrl”:&…,,,console,web,Mozilla/5.0 (X11; Linux …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-US,TRUE,24,UTF-8,US,NY,New York,New York,10021,40.77,-73.96,America/New_York,,,,,,,,d960ae10-3061-41f5-9547-…,https://console.snowplow…,,https,443,snowplowanalytics.com,/,,,{ “connectEnd”…,,,,,,,,direct,,,,,1004,632,1024,768,989,1247,,,,,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
